3gram	Losev_DialektikaMifa_partition_part1_wordlist_3gram	Losev_DialektikaMifa_partition_part4_wordlist_3gram
не имеет никакого	2	3
той или другой	3	4
на то что	3	4
и стало быть	4	2
по сравнению с	2	2
сам по себе	2	6
сама по себе	5	8
случае не есть	2	2
ничего не говорит	4	4
по крайней мере	7	4
та или иная	2	3
и в частности	2	2
то и другое	2	2
в том что	9	7
не есть ни	9	6
ни в каком	4	8
или по крайней	3	2
то или иное	3	2
и в этом	3	3
д и т	2	2
не имеет ничего	2	3
в то же	6	4
это значит что	7	9
с точки зрения	9	12
иметь в виду	2	3
имеет ничего общего	2	3
тех или других	3	2
ни на что	2	2
ничего общего с	2	3
ровно ничего не	6	3
и в то	2	2
т е о	3	2
само по себе	4	5
т д и	3	2
и т д	15	19
точно так же	2	2
не может быть	6	3
это и есть	4	2
в этом смысле	4	3
то же время	6	4
что миф есть	2	3
я утверждаю что	4	4
миф не есть	8	11