N	2gram	Vygotskiy_	RusskieA
1	и в	55	79
2	в том	50	64
3	том что	46	59
4	что в	43	57
5	не только	24	41
6	во время	4	38
7	так как	20	34
8	в этом	30	33
9	и другие	3	33
10	состоит в	3	32
11	как бы	33	31
12	но и	16	31
13	как и	9	28
14	может быть	34	28
15	и на	12	28
16	одна из	6	24
17	и т	12	23
18	о том	24	23
19	с в	2	23
20	при этом	11	22
21	т д	6	21
22	это не	9	20
23	как мы	6	20
24	а в	7	20
25	из них	7	19
26	представляют собой	2	18
27	все это	8	18
28	с тем	10	17
29	потому что	48	17
30	показывает что	3	17
31	то что	69	17
32	об этом	5	17
33	таким образом	35	17
34	вместе с	16	17
35	мы не	8	16
36	один из	9	15
37	или на	2	15
38	будто бы	3	15
39	у нас	7	14
40	мы видели	2	14
41	для нас	9	14
42	в них	7	14
43	как это	16	14
44	и не	19	14
45	и с	3	14
46	и что	45	14
47	так что	8	13
48	к этому	5	13
49	не может	15	13
50	еще не	6	13
51	как в	4	13
52	в которых	4	13
53	в некоторых	2	13
54	в виде	3	12
55	между собой	2	12
56	этом случае	2	12
57	мы имеем	10	12
58	тем что	8	12
59	полагает что	9	12
60	что на	6	11
61	следующим образом	2	11
62	а затем	2	11
63	но это	2	11
64	мы увидим	11	11
65	не имеет	2	11
66	далеко не	4	11
67	его в	2	10
68	и других	2	10
69	так и	6	10
70	по существу	4	10
71	так например	5	10
72	между тем	4	10
73	все же	11	10
74	что и	11	10
75	в течение	2	10
76	том чтобы	7	10
77	представляет собой	2	10
78	или в	6	10
79	данном случае	4	9
80	о чем	4	9
81	но в	7	9
82	к жизни	2	9
83	и все	15	9
84	что они	11	9
85	того как	4	9
86	то же	16	9
87	но не	9	9
88	так же	19	8
89	того что	12	8
90	в данном	4	8
91	того чтобы	43	8
92	их в	4	8
93	же в	3	8
94	связи с	2	8
95	что это	15	8
96	как например	2	8
97	не все	3	8
98	во всех	6	8
99	ее в	2	8
100	для того	45	8
101	в этих	3	8
102	что по	3	8
103	тому как	3	8
104	в своем	12	7
105	мы должны	10	7
106	ничего не	4	7
107	не в	12	7
108	главным образом	3	7
109	а с	7	7
110	предположить что	2	7
111	по этому	5	7
112	на них	3	7
113	было бы	15	7
114	до конца	7	7
115	для этого	12	7
116	из этих	4	7
117	в это	2	7
118	и как	10	7
119	говорится что	2	7
120	еще в	2	7
121	не можем	8	7
122	только в	12	7
123	как будто	7	7
124	а не	16	7
125	с собой	3	6
126	в этой	15	6
127	должно было	2	6
128	и их	3	6
129	на этом	11	6
130	в их	3	6
131	только на	4	6
132	тому что	11	6
133	к тому	12	6
134	что этот	3	6
135	в нем	13	6
136	так в	4	6
137	этому поводу	4	6
138	же как	4	6
139	все эти	5	6
140	связаны с	2	6
141	в качестве	2	6
142	чем в	3	6
143	но она	3	6
144	в одном	5	6
145	что она	10	6
146	и о	5	6
147	что здесь	3	6
148	должен был	7	6
149	но они	2	6
150	или с	2	6
151	на нее	2	6
152	приводит к	2	6
153	в таком	4	6
154	на самом	9	5
155	вопрос о	6	5
156	и потому	8	5
157	за этим	2	5
158	в тех	3	5
159	но если	3	5
160	что он	30	5
161	прежде всего	6	5
162	и др	2	5
163	эта теория	6	5
164	в свою	3	5
165	с этим	4	5
166	в то	6	5
167	в целом	7	5
168	там где	6	5
169	не было	2	5
170	например в	2	5
171	тот же	5	5
172	в его	8	5
173	по поводу	6	5
174	что от	2	5
175	его с	2	5
176	можно было	6	5
177	в особенности	3	5
178	только для	2	5
179	не с	2	5
180	и для	13	5
181	с другой	12	5
182	и к	5	5
183	с ним	4	5
184	связь между	2	5
185	мы уже	7	5
186	к таким	3	5
187	совпадают с	2	4
188	которые в	2	4
189	в глаза	2	4
190	иное как	2	4
191	не что	2	4
192	и при	3	4
193	нас не	2	4
194	в руки	3	4
195	здесь мы	2	4
196	его и	2	4
197	и там	2	4
198	отличие от	3	4
199	могут быть	8	4
200	и под	3	4
201	и до	4	4
202	и другим	2	4
203	во всяком	2	4
204	в основе	9	4
205	и от	2	4
206	к ней	3	4
207	несмотря на	5	4
208	за ним	3	4
209	и здесь	11	4
210	не просто	6	4
211	та же	6	4
212	что иное	2	4
213	такой же	2	4
214	в отличие	3	4
215	и из	3	4
216	это имеет	2	4
217	на кладбище	2	4
218	но все	5	4
219	что у	7	4
220	их не	2	4
221	что для	6	4
222	именно в	9	4
223	в котором	5	4
224	в своих	9	4
225	как они	3	4
226	этот вопрос	6	4
227	уже в	7	4
228	в ней	5	4
229	которое в	2	4
230	то время	4	4
231	во всем	3	4
232	но он	6	4
233	никогда не	15	3
234	всех этих	3	3
235	очевидно что	3	3
236	должны признать	2	3
237	в одной	4	3
238	и поэтому	4	3
239	каждый из	2	3
240	в форме	2	3
241	то есть	16	3
242	с той	2	3
243	это и	7	3
244	в виду	5	3
245	на все	2	3
246	как он	6	3
247	и другое	6	3
248	мы знаем	4	3
249	они были	3	3
250	когда они	2	3
251	что все	12	3
252	любви и	3	3
253	и это	13	3
254	тех пор	2	3
255	на другой	2	3
256	точки зрения	15	3
257	с которой	2	3
258	же не	2	3
259	в области	2	3
260	совсем не	3	3
261	в какой	5	3
262	в ее	3	3
263	что с	8	3
264	и во	2	3
265	в своей	8	3
266	он был	3	3
267	смерти в	2	3
268	значение и	2	3
269	нет и	2	3
270	из самых	3	3
271	и другими	2	3
272	увидим что	13	3
273	имеет место	3	3
274	и то	12	3
275	на которых	2	3
276	совершенно очевидно	6	3
277	это в	5	3
278	по отношению	3	3
279	и наоборот	2	3
280	в которой	4	3
281	которые не	2	3
282	чем у	3	3
283	до тех	2	3
284	на него	4	3
285	в эту	2	3
286	к другу	5	3
287	если бы	21	3
288	на первый	2	3
289	отношению к	2	3
290	сих пор	9	3
291	что касается	4	3
292	жизнь и	2	3
293	не имеем	2	3
294	с одной	15	3
295	на этот	7	3
296	думать что	3	3
297	говорится о	2	3
298	думает что	2	3
299	на то	27	3
300	когда он	10	3
301	с таким	2	3
302	из которых	5	3
303	так чтобы	2	3
304	находится в	2	3
305	друг к	5	3
306	с точки	5	3
307	сводится к	7	3
308	говорит о	5	3
309	и его	10	3
310	по его	5	3
311	как на	15	3
312	как только	5	3
313	что именно	7	3
314	тому же	4	3
315	пор пока	2	3
316	быть и	2	3
317	до сих	9	3
318	его мнению	4	2
319	решить вопрос	2	2
320	что их	2	2
321	во все	4	2
322	что ему	4	2
323	имеет и	2	2
324	к этим	2	2
325	и следовательно	3	2
326	могло бы	4	2
327	в себе	13	2
328	от него	5	2
329	что им	2	2
330	заключить что	2	2
331	и вообще	2	2
332	перед нами	5	2
333	не как	3	2
334	в силу	3	2
335	в конце	10	2
336	и наконец	5	2
337	что между	2	2
338	должен быть	3	2
339	до нового	2	2
340	это на	2	2
341	и тем	6	2
342	а как	3	2
343	он должен	8	2
344	между ними	2	2
345	останавливаться на	2	2
346	в частности	6	2
347	и за	4	2
348	самом деле	17	2
349	т п	5	2
350	тем как	2	2
351	показать что	17	2
352	утверждает что	6	2
353	образом в	3	2
354	не так	4	2
355	в него	5	2
356	но мы	4	2
357	только с	3	2
358	к этой	2	2
359	в ту	2	2
360	они не	3	2
361	с другом	6	2
362	ни одна	2	2
363	точка зрения	4	2
364	его жизнь	2	2
365	ту же	3	2
366	не дает	2	2
367	одной стороны	15	2
368	ответ на	5	2
369	для чего	4	2
370	в состав	3	2
371	исходя из	7	2
372	здесь в	2	2
373	прав когда	9	2
374	когда в	2	2
375	мы видим	13	2
376	и когда	12	2
377	иметь в	3	2
378	мнение что	2	2
379	себя и	3	2
380	под влиянием	3	2
381	что эти	4	2
382	в двух	9	2
383	можно сказать	4	2
384	дают нам	2	2
385	для него	5	2
386	относится к	2	2
387	это нужно	2	2
388	с его	6	2
389	сказать что	14	2
390	несомненно что	2	2
391	все то	6	2
392	на которые	2	2
393	он не	10	2
394	нет в	2	2
395	что если	9	2
396	когда мы	10	2
397	другой стороны	8	2
398	и он	7	2
399	дело в	4	2
400	в каждом	2	2
401	должно быть	6	2
402	собой в	2	2
403	но совершенно	3	2
404	из нее	2	2
405	и даже	4	2
406	мы можем	8	2
407	друг с	6	2
408	целый ряд	5	2
409	которые с	3	2
410	чтобы сделать	2	2
411	этом отношении	3	2
412	не является	3	2
413	с этой	5	2
414	совершенно не	11	2
415	имеет целью	2	2
416	от одного	2	2
417	с и	11	2
418	в пределах	3	2
419	нас в	2	2
420	не могло	2	2
421	что есть	3	2
422	не имело	2	2
423	в жизни	2	2
424	вытекает из	2	2
425	и так	4	2
426	и является	2	2
427	дело здесь	2	2
428	этой цели	3	2
429	что такое	2	2
430	если это	4	2
431	а когда	2	2
432	и если	13	2
433	оно не	2	2
434	быть не	2	2
435	о них	2	2
436	это так	2	2
437	основана на	2	2
438	но что	3	2
439	если он	2	2
440	по себе	13	2
441	и действительно	2	2
442	равно как	2	2
443	должны будем	3	2
444	и теперь	2	2
445	в стороне	2	2
446	и затем	2	2
447	к другому	2	2
448	от нее	2	2
449	из этого	7	2
450	что эта	8	2
451	но еще	3	2
452	у него	9	2
453	в москву	8	2
454	в нашем	3	2
455	что при	5	2
