N	2gram	Tiupa_Anal_1	Literetu
1	а не	17	20
2	и в	18	19
3	может быть	29	17
4	своего рода	3	13
5	то же	9	12
6	и не	21	11
7	как и	13	10
8	в том	27	10
9	и т.п	5	10
10	но и	17	10
11	тогда как	14	9
12	в этом	13	9
13	состоит в	11	9
14	в то	9	9
15	в мире	8	9
16	же время	6	9
17	не может	22	9
18	такого рода	5	9
19	не только	15	8
20	хх века	1	8
21	и даже	1	8
22	с другой	4	8
23	том что	12	7
24	так и	4	7
25	и т.д	1	7
26	с одной	3	7
27	я в	3	7
28	то что	6	7
29	и на	5	6
30	в себе	11	6
31	при этом	12	6
32	однако в	3	6
33	не менее	1	6
34	себя в	6	6
35	одной стороны	3	6
36	в году	1	5
37	я не	1	5
38	столь же	4	5
39	но не	10	5
40	конечном счете	4	5
41	в принципе	8	5
42	он не	3	5
43	одна из	1	5
44	в конечном	4	5
45	в качестве	31	5
46	для всех	1	5
47	на фоне	2	5
48	то есть	11	5
49	того что	4	5
50	вместе с	4	5
51	я и	6	4
52	мы не	1	4
53	того же	4	4
54	по отношению	6	4
55	так что	1	4
56	отнюдь не	15	4
57	в рамках	3	4
58	едва ли	2	4
59	для него	2	4
60	точки зрения	6	4
61	не в	14	4
62	даже в	3	4
63	в области	4	4
64	в ней	1	4
65	еще в	2	4
66	в его	13	4
67	один из	2	4
68	не случайно	3	4
69	каждый из	2	4
70	прежде всего	6	4
71	в частности	19	4
72	и.п смирнов	2	4
73	лирического героя	2	4
74	в искусстве	2	4
75	жизни в	1	4
76	другой стороны	2	4
77	жизни и	1	4
78	что в	5	4
79	речь идет	1	3
80	одним из	3	3
81	и то	2	3
82	в сущности	6	3
83	как я	1	3
84	я на	1	3
85	во всех	1	3
86	эстетический субъект	2	3
87	как правило	4	3
88	в противовес	2	3
89	как к	2	3
90	эстетической деятельности	4	3
91	поскольку в	1	3
92	в этой	5	3
93	то и	1	3
94	наш взгляд	6	3
95	в нем	3	3
96	на наш	6	3
97	всех своих	1	3
98	я все	1	3
99	литературного процесса	1	3
100	такой же	2	3
101	в их	5	3
102	том чтобы	7	3
103	с точки	4	3
104	тем самым	7	3
105	вплоть до	1	3
106	не столько	2	3
107	никогда не	2	3
108	ничего не	1	3
109	х годов	2	3
110	сознания в	4	3
111	и его	5	3
112	личности в	3	3
113	этот путь	1	3
114	данном случае	2	3
115	в себя	6	3
116	всей своей	1	3
117	не с	4	3
118	и с	2	3
119	быть может	2	3
120	коммуникативное событие	6	3
121	в другом	4	3
122	всего лишь	4	3
123	другого в	3	3
124	а в	9	3
125	так как	2	3
126	этом отношении	2	3
127	и др	1	3
128	со стороны	2	3
129	и жизни	1	3
130	эстетического субъекта	3	3
131	в равной	3	3
132	в данном	2	3
133	а именно	3	3
134	но это	1	3
135	в культуре	3	3
136	в начале	2	3
137	и для	1	3
138	художественной культуры	1	3
139	и как	5	3
140	что он	3	3
141	о себе	1	3
142	отношению к	5	3
143	себя как	1	2
144	и т	3	2
145	е годы	1	2
146	и до	2	2
147	являет собой	1	2
148	той же	2	2
149	зависимость от	1	2
150	на себя	2	2
151	из того	4	2
152	к своему	1	2
153	нам представляется	1	2
154	но как	1	2
155	если в	3	2
156	в е	1	2
157	без другого	2	2
158	в художественном	3	2
159	все же	4	2
160	как уже	2	2
161	и наконец	1	2
162	и к	3	2
163	но в	8	2
164	в противоположность	2	2
165	ведь я	1	2
166	то в	2	2
167	со своей	1	2
168	нобелевской лекции	1	2
169	в целом	5	2
170	представляет собой	16	2
171	в нашем	3	2
172	как он	3	2
173	марина цветаева	1	2
174	и сам	2	2
175	свое время	2	2
176	подобно тому	3	2
177	на этом	2	2
178	не бывает	1	2
179	одно и	1	2
180	а затем	1	2
181	и иных	1	2
182	художественного письма	2	2
183	системе ценностей	1	2
184	однако его	1	2
185	коммуникативной стратегии	1	2
186	в них	1	2
187	все равно	1	2
188	соответствии с	2	2
189	творческий акт	2	2
190	с этой	1	2
191	с тем	1	2
192	он и	1	2
193	по формуле	1	2
194	возвращении к	1	2
195	как бы	5	2
196	художественного творчества	2	2
197	в такой	1	2
198	и читателя	2	2
199	не к	2	2
200	случае это	2	2
201	по преимуществу	1	2
202	одном из	1	2
203	по крайней	1	2
204	из ключевых	1	2
205	из нас	1	2
206	в основе	6	2
207	при взгляде	1	2
208	не вполне	1	2
209	уже о	1	2
210	могут быть	4	2
211	не исключают	2	2
212	восходит к	1	2
213	все еще	1	2
214	для того	4	2
215	искусства есть	1	2
216	для себя	2	2
217	принципе не	3	2
218	в виду	1	2
219	говоря уже	1	2
220	не могу	2	2
221	в ее	1	2
222	это как	2	2
223	коммуникативного события	14	2
224	еще не	3	2
225	для этого	2	2
226	художественного мира	2	2
227	о том	5	2
228	и что	1	2
229	общественного сознания	1	2
230	для нас	1	2
231	а также	3	2
232	и только	1	2
233	крайней мере	1	2
234	не более	4	2
235	не собственного	1	2
236	в него	1	2
237	было бы	2	2
238	могло бы	1	2
239	и одновременно	3	2
240	тот же	1	2
241	в какой	2	2
242	друг друга	1	2
243	потому что	2	2
244	уже не	4	2
245	с другим	4	2
246	ни было	4	2
247	свидетельствует о	2	2
248	к объективности	1	2
249	как писал	1	2
250	из них	2	2
251	не так	1	2
252	равной степени	2	2
253	в одном	1	2
254	т п	3	2
255	что и	3	2
256	вовсе не	2	2
257	граница между	1	2
258	при всей	2	2
259	у него	1	2
260	как раз	1	2
261	способ существования	1	2
262	наконец в	1	2
263	в облике	2	2
264	себя и	4	2
265	что не	3	2
266	не было	1	2
267	него не	1	2
268	произведения искусства	3	2
269	мира в	2	2
270	по характеристике	1	2
271	искусства то	1	2
272	как это	1	2
273	из которых	4	2
274	над ним	1	2
275	художественного видения	3	2
276	тому как	3	2
277	быть не	3	2
278	к объекту	3	2
279	при всем	1	2
280	не является	2	2
281	в результате	1	2
282	хотя бы	3	2
283	с ним	4	2
284	же в	1	2
285	смыкается с	1	2
286	не говоря	2	2
287	не знает	1	2
288	сознания на	1	2
289	присутствия в	2	2
290	в свое	2	2
291	героя в	2	2
292	в роли	2	2
293	в своих	1	2
294	путь не	1	2
295	все что	1	2
296	том числе	3	2
297	и вновь	1	2
298	литературы а	1	1
299	отношения к	2	1
300	единой всеобщей	1	1
301	видится не	1	1
302	перед лицом	6	1
303	полном соответствии	1	1
304	от своей	1	1
305	в первом	2	1
306	отношения между	1	1
307	находится над	1	1
308	культурного феномена	1	1
309	начале х	2	1
310	должна быть	1	1
311	его что	1	1
312	онтологического статуса	1	1
313	могу обойтись	1	1
314	границы с	1	1
315	обойтись без	1	1
316	легче провести	1	1
317	текста как	1	1
318	мы имеем	6	1
319	выше его	1	1
320	как мы	2	1
321	таком взгляде	1	1
322	сведена к	1	1
323	на место	2	1
324	ни единого	1	1
325	целым рядом	1	1
326	он как	1	1
327	равной мере	1	1
328	под диктовку	1	1
329	привносит от	1	1
330	простор в	1	1
331	а далее	1	1
332	пребывания в	1	1
333	меньшей степени	1	1
334	широте на	1	1
335	дает им	1	1
336	не от	1	1
337	он был	1	1
338	он сам	1	1
339	бы то	3	1
340	взгляде на	2	1
341	по воле	1	1
342	в чем	1	1
343	эстетический дискурс	5	1
344	художественном творчестве	1	1
345	самом деле	2	1
346	то он	2	1
347	принадлежит не	1	1
348	сознания не	1	1
349	эта всеединая	1	1
350	герой не	1	1
351	в новом	2	1
352	постановка проблемы	1	1
353	художественные тексты	1	1
354	отличие от	6	1
355	иной эстетической	1	1
356	за пределы	2	1
357	к осуществлению	1	1
358	более чем	4	1
359	вследствие чего	1	1
360	как в	1	1
361	данный момент	1	1
362	однороден с	1	1
363	о жизни	1	1
364	этой точки	1	1
365	есть в	1	1
366	как нам	1	1
367	однако не	3	1
368	в полном	1	1
369	я должен	1	1
370	и сердцем	1	1
371	касается искусства	1	1
372	я к	1	1
373	к числу	1	1
374	художников не	1	1
375	в действительности	1	1
376	а перед	1	1
377	личности а	2	1
378	искусство и	1	1
379	характерный атрибут	1	1
380	он написан	2	1
381	строчки ложатся	1	1
382	ложатся в	1	1
383	в самом	6	1
384	к художественному	1	1
385	в литературном	1	1
386	что это	1	1
387	все эти	2	1
388	бытие на	1	1
389	не оставляет	1	1
390	в известном	1	1
391	рассказ о	2	1
392	объекта в	1	1
393	просто продиктованные	1	1
394	например каждый	1	1
395	но он	1	1
396	сознаний их	1	1
397	с художественной	1	1
398	и те	1	1
399	подавляет и	1	1
400	отказываясь от	1	1
401	двух других	1	1
402	всеобщей основе	1	1
403	в случае	6	1
404	пастернак в	1	1
405	смирнов когда	1	1
406	не следует	4	1
407	грамотных читать	1	1
408	исключают целого	1	1
409	всеединая основа	1	1
410	трагическое есть	1	1
411	а скорее	1	1
412	идут по	1	1
413	таково что	1	1
414	тетрадь и	1	1
415	всех этих	1	1
416	блудный сын	1	1
417	внутренний мир	1	1
418	частные элементы	1	1
419	в творческом	2	1
420	что ни	1	1
421	и по	2	1
422	или иных	2	1
423	без исключения	1	1
424	дискурса не	1	1
425	ни был	1	1
426	таким образом	3	1
427	здесь мы	1	1
428	то ни	3	1
429	сознания является	1	1
430	интерсубъективной реальности	2	1
431	только не	2	1
432	не отменяет	1	1
433	бы показаться	1	1
434	в глубине	1	1
435	языка в.т	1	1
436	более высокого	1	1
437	по выражению	2	1
438	с другими	4	1
439	искусства в	4	1
440	это не	6	1
441	полноте и	1	1
442	собою когда	1	1
443	по мысли	3	1
444	поведения и	1	1
445	который по	1	1
446	реальности и	2	1
447	она и	1	1
448	далеко не	6	1
449	и следовало	1	1
450	между собою	1	1
451	функция художественного	1	1
452	художественного дискурса	1	1
453	ориентиром для	1	1
454	жизни по	1	1
455	произведение оно	1	1
456	ведет к	3	1
457	частное бытие	1	1
458	иначе говоря	9	1
459	эстетическим субъектом	1	1
460	по той	1	1
461	и сосредоточенности	1	1
462	эстетического отношения	8	1
463	в этих	1	1
464	основе когда	1	1
465	ему как	1	1
466	от первой	1	1
467	в своей	6	1
468	поэтического творчества	1	1
469	эстетической реальности	3	1
470	знает и	1	1
471	место в	3	1
472	того требуют	1	1
473	в отличие	6	1
474	от себя	3	1
475	является в	1	1
476	к художественности	1	1
477	не привносит	1	1
478	времени не	1	1
479	при рассмотрении	3	1
480	не его	1	1
481	далека от	1	1
482	их в	1	1
483	как от	2	1
484	и подчинения	1	1
485	и позволяют	1	1
486	в историческом	1	1
487	сознаний как	1	1
488	случае мы	1	1
489	например и	1	1
490	тому что	1	1
491	во-вторых они	1	1
492	в отношении	1	1
493	им полный	1	1
494	всех грамотных	1	1
495	чем научить	1	1
496	сущности говоря	1	1
497	текста является	1	1
498	научить всех	1	1
499	текст оказывается	1	1
500	все мы	1	1
501	словечка он	1	1
502	предстает в	1	1
503	на того	1	1
504	взаимно полагают	1	1
505	утверждают свое	1	1
506	того и	3	1
507	ряда что	1	1
508	имеем дело	4	1
509	этих двух	1	1
510	по своей	6	1
511	литературный текст	1	1
512	во всем	1	1
513	есть не	8	1
514	себе во	1	1
515	со своим	1	1
516	связи с	1	1
517	в сознании	2	1
518	для другого	1	1
519	мы и	1	1
520	найдя другого	2	1
521	что позволяет	1	1
522	как справедливо	3	1
523	роль по	1	1
524	не могут	3	1
525	сознания как	1	1
526	эстетического объекта	11	1
527	же самое	2	1
528	приобщения к	1	1
529	числе и	1	1
530	к тому	7	1
531	как для	1	1
532	вновь и	1	1
533	с кем	1	1
534	ценностного центра	1	1
535	быть подвергнут	1	1
536	говоря словами	1	1
537	время он	1	1
538	знает категории	1	1
539	расходится с	1	1
540	элементы в	1	1
541	как утверждает	1	1
542	можно и	1	1
543	и о	2	1
544	но по	1	1
545	того чтобы	3	1
546	полагают себя	1	1
547	свою очередь	1	1
548	на нем	1	1
549	здесь не	2	1
550	сама природа	1	1
551	говорит и	2	1
552	события как	1	1
553	самим собою	1	1
554	на основе	2	1
555	в собственном	3	1
556	как по	1	1
557	своей полноте	1	1
558	мысль о	2	1
559	в особенности	1	1
560	культуры и	1	1
561	в пределах	2	1
562	них дает	1	1
563	был я	1	1
564	на свой	1	1
565	это путь	1	1
566	читателя в	2	1
567	на том	1	1
568	же касается	1	1
569	что может	1	1
570	художественное творчество	2	1
571	чужой ему	1	1
572	произведение искусства	9	1
573	читателя нужно	1	1
574	творческий процесс	1	1
575	творчество есть	1	1
576	сознаний в	1	1
577	с позиций	2	1
578	в последующих	1	1
579	пишет под	1	1
580	когда во-вторых	1	1
581	ключевая роль	1	1
582	не разложимое	1	1
583	же мере	2	1
584	существующим в	2	1
585	творческой воли	1	1
586	я которое	1	1
587	электрификацию чем	1	1
588	в таком	3	1
589	е фарино	4	1
590	лишь при	4	1
591	быть ни	1	1
592	сводится к	5	1
593	встал и	1	1
594	приближается к	1	1
595	произведения как	7	1
596	на взгляд	1	1
597	о границах	1	1
598	нашем случае	3	1
599	направленной на	1	1
600	во взаимоприятии	1	1
601	все прочие	2	1
602	но мы	1	1
603	солидарны между	1	1
604	одного из	2	1
605	даже у	1	1
606	на что	1	1
607	и просто	2	1
608	можно сказать	2	1
609	основе своей	2	1
610	пор пока	1	1
611	своей субъективности	1	1
612	другого сознания	2	1
613	времени в	1	1
614	де шардена	1	1
615	единого словечка	1	1
616	под именем	1	1
617	на отдельные	1	1
618	я а	1	1
619	состоит не	1	1
620	однако с	1	1
621	во втором	1	1
622	свое частное	1	1
623	ним и	2	1
624	читателя и	1	1
625	иного рода	2	1
626	не поглощает	1	1
627	чем и	2	1
628	соединении с	1	1
629	отдельные слова	1	1
630	личность является	1	1
631	целого а	1	1
632	читать пушкина	2	1
633	в ту	1	1
634	счастье существования	1	1
635	лица в	1	1
636	центр художественного	1	1
637	творческого акта	1	1
638	другом найдя	2	1
639	в литературе	4	1
640	высказывание в	1	1
641	а утверждают	1	1
642	тех пор	1	1
643	наконец в-третьих	1	1
644	такая же	1	1
645	раскрывая себя	1	1
646	парадоксальным образом	1	1
647	дело с	4	1
648	другого он	1	1
649	совершает не	1	1
650	и науке	1	1
651	субъекта в	2	1
652	явлений культуры	1	1
653	и управляет	1	1
654	исключают друг	1	1
655	потребности и	1	1
656	наша цель	1	1
657	но то	1	1
658	что ж	1	1
659	мире и	2	1
660	по всеохватывающей	1	1
661	паразитируя на	1	1
662	в эстетическом	1	1
663	не можем	1	1
664	вопроса о	3	1
665	только на	1	1
666	а напротив	2	1
667	в итоге	1	1
668	за пределами	2	1
669	других в	1	1
670	красоты и	1	1
671	творчества в	1	1
672	не все	2	1
673	неотъемлемая часть	1	1
674	от других	1	1
675	слова не	1	1
676	а то	1	1
677	только ему	1	1
678	продиктованные строчки	1	1
679	обнимает все	1	1
680	искусство в	2	1
681	ссср электрификацию	1	1
682	чего бы	1	1
683	субъекта к	1	1
684	с какой	1	1
685	ни с	3	1
686	данного текста	2	1
687	есть рассказ	1	1
688	себе в	2	1
689	личности и	1	1
690	слова в	1	1
691	мы находим	1	1
692	в пространстве	1	1
693	как художественной	1	1
694	в цепи	1	1
695	умственные способности	1	1
696	сама в	1	1
697	бытия и	2	1
698	читателем в	1	1
699	сотворческого сопереживания	2	1
700	как было	1	1
701	во всей	1	1
702	до тех	1	1
703	образом не	2	1
704	частных элементов	1	1
705	их именно	1	1
706	стратегиями дискурса	1	1
707	художественный текст	5	1
708	и напротив	1	1
709	могу стать	1	1
710	нет и	2	1
711	один в	2	1
712	в.т и	1	1
713	или иной	6	1
714	в данный	1	1
715	как сам	1	1
716	не поддается	1	1
717	слов такой	1	1
718	этом как	1	1
719	не просто	2	1
720	именно в	4	1
721	написан а	1	1
722	человека а	1	1
723	другие и	1	1
724	текст в	2	1
725	а с	3	1
726	и души	1	1
727	в романе	1	1
728	провести в	1	1
729	говорит о	1	1
730	работу совершает	1	1
731	к человеку	1	1
732	в соответствии	1	1
733	на единой	1	1
734	требуют их	1	1
735	литературное произведение	12	1
736	поставить на	1	1
737	всеохватывающей своей	1	1
738	воспринимающего сознания	5	1
739	более того	3	1
740	что находится	1	1
741	однако и	1	1
742	человек в	3	1
743	все время	1	1
744	смирнов убедительно	1	1
745	своей широте	1	1
746	когда же	1	1
747	где по	1	1
748	в ряду	2	1
749	мыслилась как	1	1
750	не всегда	4	1
751	тейяра де	1	1
752	что мы	3	1
753	не об	1	1
754	и п	2	1
755	художественного целого	10	1
756	не подавляет	1	1
757	полный простор	1	1
758	о счастье	1	1
759	для эстетики	1	1
760	все более	1	1
761	духовного не	1	1
762	нужно поставить	1	1
763	есть точка	1	1
764	одно слово	1	1
765	во-первых частные	1	1
766	белоснежную тетрадь	1	1
767	и потому	2	1
768	ж дерриды	1	1
769	высшего порядка	1	1
770	требует от	1	1
771	их умственные	1	1
772	решение вопроса	1	1
773	для искусства	1	1
774	сего времени	1	1
775	другого я	2	1
776	пушкина как	2	1
777	художественное целое	1	1
778	душевные потребности	1	1
779	сам но	1	1
780	эстетического дискурса	10	1
781	с миром	1	1
782	во взаимоотражении	1	1
783	что же	2	1
784	в тот	1	1
785	ни одно	2	1
786	их душевные	1	1
787	которой состоит	1	1
788	в тексте	5	1
789	управляет им	1	1
790	субъект дискурса	2	1
791	утверждение о	1	1
792	его в	1	1
793	и от	1	1
794	в ранг	1	1
795	друга а	1	1
796	другого следует	1	1
797	до сего	1	1
798	автора и	3	1
799	стать самим	1	1
800	что выше	1	1
801	объективной данности	1	1
802	возникает в	1	1
803	силу и	1	1
804	меня я	1	1
805	я с	1	1
806	о мире	1	1
807	быть представлена	1	1
808	эстетическим объектом	4	1
809	всего в	1	1
810	тех или	2	1
811	позволяют их	1	1
812	собственного задания	1	1
813	еще одна	1	1
814	при таком	1	1
815	а.ф лосева	2	1
816	войти в	1	1
817	как система	1	1
818	на самом	2	1
819	мира и	1	1
820	не свидетельствует	1	1
821	которая в	3	1
822	сам является	1	1
823	но одновременно	1	1
824	другого не	1	1
825	и трагическое	1	1
826	об одном	1	1
827	другом солидарны	1	1
828	ее и	1	1
829	особого рода	7	1
830	казака с	1	1
831	от него	1	1
832	воспринимающее сознание	1	1
833	и все	3	1
834	со второй	1	1
835	а раскрывая	1	1
836	той или	6	1
837	эстетическим адресатом	1	1
838	в белоснежную	1	1
839	в-третьих эта	1	1
840	должен найти	1	1
841	как того	1	1
842	когда наконец	1	1
843	вот этот	1	1
844	исключительно в	1	1
845	по рассуждению	2	1
846	отношению ко	1	1
847	в ходе	3	1
848	не предполагает	2	1
849	отталкиваясь от	1	1
850	дискурса а	1	1
851	нам не	1	1
852	собою без	1	1
853	свою судьбу	1	1
854	себя один	1	1
855	нет ничего	2	1
856	такова что	1	1
857	и представляет	3	1
858	от своего	2	1
859	исторической поэтики	2	1
860	своего предмета	3	1
861	найти себя	2	1
862	в свою	1	1
863	может наиболее	1	1
864	какое-то утверждение	1	1
865	к его	1	1
866	напротив взаимно	1	1
867	элементов а	2	1
868	о литературе	3	1
869	взаимоотражении во	1	1
870	объект эстетического	2	1
871	этого феномена	2	1
872	культуры в	2	1
873	из этого	1	1
874	поглощает частных	1	1
875	который в	2	1
876	и адресата	2	1
877	и состоит	5	1
878	которой я	1	1
879	а я	1	1
880	быть отождествлен	2	1
881	также не	1	1
882	ее в	1	1
883	все того	1	1
884	в ссср	1	1
885	то оно	1	1
886	и эта	1	1
887	собой некую	1	1
888	который не	1	1
889	объекту в	1	1
890	они не	1	1
