N	2gram	Losev_Vlad_3	Myslijsy
1	потому что	11	49
2	для нас	5	31
3	то есть	24	30
4	и в	40	24
5	в душе	1	23
6	может быть	8	23
7	то что	28	20
8	и не	25	19
9	в том	18	18
10	а не	8	18
11	что в	17	16
12	не только	25	15
13	по себе	6	15
14	того же	2	14
15	при этом	3	13
16	не в	3	13
17	было бы	4	13
18	то же	4	12
19	но не	4	12
20	не может	14	12
21	мы не	2	11
22	таким образом	11	11
23	вместе с	7	11
24	если бы	3	11
25	что и	7	11
26	что мы	2	11
27	только в	13	11
28	как в	1	10
29	в себе	9	10
30	для него	8	10
31	так что	14	10
32	так как	7	10
33	независимо от	3	9
34	в нем	3	9
35	вовсе не	13	9
36	то и	2	9
37	но и	18	9
38	как бы	3	9
39	точно так	4	9
40	и на	6	8
41	а только	7	8
42	в этом	16	8
43	более или	5	8
44	том что	18	8
45	или менее	5	8
46	в одно	2	8
47	а в	7	8
48	в чем	3	7
49	во всех	1	7
50	с этим	2	7
51	как и	7	7
52	всяком случае	3	7
53	того как	1	7
54	не могут	2	7
55	прежде всего	10	7
56	тем что	5	7
57	того что	7	7
58	во всяком	3	7
59	что если	4	6
60	и как	7	6
61	в состоянии	1	6
62	тем не	10	6
63	в то	7	6
64	не имеет	4	6
65	связи с	2	6
66	есть только	9	6
67	и только	3	6
68	не можем	2	6
69	в одном	5	6
70	заметить что	2	6
71	с другой	5	6
72	не было	5	6
73	этого слова	1	6
74	не есть	10	6
75	в свою	1	6
76	только как	1	6
77	по поводу	1	6
78	а и	2	5
79	что они	1	5
80	все же	4	5
81	уже в	3	5
82	бы не	1	5
83	на то	4	5
84	есть не	2	5
85	не менее	9	5
86	так и	6	5
87	о том	11	5
88	а потому	1	5
89	из них	2	5
90	от того	4	5
91	в них	1	5
92	для того	2	5
93	в природе	1	5
94	и их	1	5
95	только для	1	5
96	или не	3	5
97	же в	3	5
98	в которой	2	5
99	а между	1	4
100	сам по	2	4
101	в самом	4	4
102	время как	2	4
103	еще не	4	4
104	но в	4	4
105	уже не	9	4
106	из этих	3	4
107	как он	1	4
108	так сказать	1	4
109	одно целое	1	4
110	и если	7	4
111	а вместе	1	4
112	внешнего мира	1	4
113	с тем	7	4
114	такой же	4	4
115	в котором	4	4
116	место в	1	4
117	том смысле	1	4
118	сих пор	1	4
119	между прочим	5	4
120	они не	1	4
121	тем самым	2	4
122	и другое	1	4
123	одна из	1	4
124	должны быть	1	4
125	в некоторых	1	4
126	то время	4	4
127	так в	1	4
128	никогда не	11	4
129	и что	8	4
130	что он	5	4
131	с одной	3	4
132	и вместе	2	4
133	до сих	1	4
134	влияние на	1	4
135	души и	1	4
136	если не	6	4
137	с а	1	4
138	в человеке	1	4
139	это последнее	2	4
140	во время	1	4
141	себе не	1	4
142	в таком	3	4
143	например в	1	3
144	человека и	3	3
145	и то	9	3
146	этого последнего	2	3
147	с таким	2	3
148	есть нечто	1	3
149	но она	1	3
150	но даже	4	3
151	то это	10	3
152	при таких	2	3
153	что его	2	3
154	если в	1	3
155	очевидно что	1	3
156	со стороны	2	3
157	относится к	1	3
158	которые не	2	3
159	хотя и	7	3
160	что это	9	3
161	в целом	2	3
162	думать что	1	3
163	что она	2	3
164	о которой	1	3
165	слова а	1	3
166	не как	2	3
167	оно должно	4	3
168	его не	1	3
169	на все	1	3
170	его в	2	3
171	это не	3	3
172	и тем	3	3
173	нечто общее	1	3
174	о которых	2	3
175	рядом с	1	3
176	далеко не	3	3
177	в этих	2	3
178	и при	1	3
179	себе в	2	3
180	ни было	1	3
181	того кто	1	3
182	в ней	5	3
183	и притом	3	3
184	на него	2	3
185	которых мы	2	3
186	внутреннюю форму	1	3
187	в каком	4	3
188	только от	1	3
189	оно не	3	3
190	если мы	4	3
191	как не	2	3
192	те же	1	3
193	не с	4	3
194	мог бы	4	3
195	том как	1	3
196	и вообще	3	3
197	находится в	3	3
198	на вопрос	1	3
199	но мы	2	3
200	которые мы	1	3
201	и во	1	3
202	вслед за	1	3
203	как например	2	3
204	по времени	1	3
205	и у	3	3
206	все признаки	1	3
207	не так	3	3
208	от другого	1	3
209	это будет	1	3
210	что на	2	3
211	что для	1	3
212	одной стороны	3	3
213	в самой	1	3
214	мы говорим	1	3
215	слова и	1	3
216	но это	6	3
217	и для	3	3
218	и от	6	3
219	то не	2	3
220	и все	4	3
221	только что	2	3
222	все что	1	3
223	как на	3	3
224	также что	1	2
225	таком случае	2	2
226	самом деле	1	2
227	на самом	3	2
228	и есть	1	2
229	не имеют	2	2
230	отношения к	5	2
231	вопрос о	4	2
232	что многие	1	2
233	без которой	2	2
234	с его	2	2
235	то мы	1	2
236	совсем не	5	2
237	то к	1	2
238	они имеют	1	2
239	не то	1	2
240	только потому	1	2
241	не все	3	2
242	в общем	1	2
243	за пределы	3	2
244	сама по	1	2
245	его на	1	2
246	общего с	2	2
247	в действительности	1	2
248	это определение	1	2
249	ни по	2	2
250	все эти	5	2
251	в нашем	2	2
252	но на	2	2
253	сказать в	1	2
254	а скорее	2	2
255	перестает быть	1	2
256	но вместе	1	2
257	что ни	1	2
258	смысле как	1	2
259	и по	2	2
260	одно и	2	2
261	но все	3	2
262	такого же	1	2
263	в другом	2	2
264	в жизни	2	2
265	само собою	1	2
266	этого не	3	2
267	ни с	3	2
268	мы знаем	3	2
269	должно быть	5	2
270	остаться на	1	2
271	не столько	3	2
272	на такие	1	2
273	мы находим	2	2
274	но он	1	2
275	их в	1	2
276	или если	1	2
277	для нее	1	2
278	тому что	4	2
279	что есть	3	2
280	и его	10	2
281	что с	1	2
282	есть прежде	2	2
283	с теми	1	2
284	сказать что	12	2
285	самого начала	1	2
286	а тогда	1	2
287	были и	1	2
288	но только	2	2
289	того чтобы	3	2
290	и весь	1	2
291	же время	2	2
292	во всем	6	2
293	и чувства	1	2
294	мы бы	7	2
295	его собственное	1	2
296	у нас	5	2
297	когда мы	1	2
298	можно думать	2	2
299	указывает на	1	2
300	что слово	1	2
301	и это	6	2
302	дать себе	1	2
303	каждому из	1	2
304	что все	7	2
305	с каким	3	2
306	имеют для	1	2
307	в себя	1	2
308	с самого	1	2
309	было в	1	2
310	стремление к	1	2
311	и здесь	6	2
312	и поэтому	1	2
313	внимание на	1	2
314	это было	3	2
315	которой мы	1	2
316	вообще и	1	2
317	и следовательно	1	2
318	если это	1	2
319	этом смысле	3	2
320	один из	1	2
321	что только	1	2
322	мы видим	1	2
323	в какой	2	2
324	в обществе	2	2
325	в нашей	2	2
326	а это	1	2
327	а то	2	2
328	не дает	1	2
329	и других	1	2
330	друг друга	2	2
331	но что	2	2
332	у него	24	2
333	само по	3	2
334	указание на	1	2
335	к которому	1	2
336	такое же	1	2
337	а с	4	2
338	себя и	1	2
339	между ними	1	2
340	точке зрения	2	2
341	не на	2	2
342	было для	1	2
343	это самое	1	2
344	в связи	3	2
345	как именно	3	2
346	так же	8	2
347	сделать его	1	2
348	и потому	10	2
349	как это	4	2
350	не сразу	1	2
351	бы несколько	1	2
352	она есть	1	2
353	сравнении с	2	2
354	не всем	1	2
355	тождественно с	1	2
356	все это	1	2
357	в его	14	2
358	а к	1	2
359	души в	1	2
360	бы в	2	2
361	мы должны	4	2
362	хотя бы	6	2
363	на более	2	2
364	отношении к	1	2
365	даже при	1	2
366	нами не	1	2
367	нам не	1	2
368	отсюда вытекает	1	2
369	но если	5	2
370	другой стороны	2	2
371	в сравнении	2	2
372	но эти	1	2
373	даже и	12	2
374	к этому	2	2
375	я и	1	1
376	не иначе	2	1
377	скажет что	1	1
378	чтобы не	1	1
379	то прежде	1	1
380	не имел	2	1
381	но тогда	2	1
382	значении этого	1	1
383	о различии	2	1
384	тех же	1	1
385	бы для	1	1
386	и так	2	1
387	от всяких	1	1
388	должна быть	2	1
389	и за	2	1
390	которыми он	1	1
391	мы уже	5	1
392	из всех	1	1
393	для своего	1	1
394	и само	2	1
395	почему бы	1	1
396	которую мы	1	1
397	говоря и	1	1
398	движение в	1	1
399	которой как	1	1
400	только это	1	1
401	принадлежит к	1	1
402	человека сначала	1	1
403	оно есть	6	1
404	которое не	1	1
405	они были	1	1
406	мы и	2	1
407	для нашей	1	1
408	и образуют	1	1
409	так а	1	1
410	себе что	1	1
411	и совсем	1	1
412	и самого	1	1
413	в отличие	3	1
414	быть в	2	1
415	на их	1	1
416	бы то	3	1
417	сознания а	1	1
418	без которого	1	1
419	в ее	1	1
420	морская волна	2	1
421	одно мгновение	1	1
422	а тем	2	1
423	мысли если	1	1
424	могло быть	2	1
425	мы будем	2	1
426	но как	2	1
427	заметим что	3	1
428	в сторону	2	1
429	должны были	1	1
430	себе и	2	1
431	отличие от	3	1
432	несколько более	1	1
433	же раз	1	1
434	и чем	1	1
435	один и	1	1
436	или временем	1	1
437	всего нам	1	1
438	в истории	5	1
439	если она	1	1
440	с чисто	1	1
441	стороны и	2	1
442	у своих	1	1
443	перед нами	3	1
444	систему как	1	1
445	что по	1	1
446	и наконец	2	1
447	это вообще	1	1
448	это легко	1	1
449	духа и	1	1
450	знаю что	1	1
451	и свою	1	1
452	ясно и	1	1
453	от этого	2	1
454	в этот	2	1
455	бы очень	1	1
456	то в	6	1
457	бы и	4	1
458	вопрос почему	1	1
459	он в	1	1
460	за этим	1	1
461	в известном	1	1
462	только на	5	1
463	с их	3	1
464	остановиться на	2	1
465	тому же	5	1
466	иначе и	2	1
467	первой по	1	1
468	человек не	1	1
469	дальше и	2	1
470	бы с	1	1
471	он не	8	1
472	раз навсегда	3	1
473	и легко	1	1
474	есть именно	1	1
475	к одному	1	1
476	не к	2	1
477	важную роль	1	1
478	что одно	1	1
479	на земле	1	1
480	чтобы в	1	1
481	его от	1	1
482	том же	1	1
483	то ни	3	1
484	не будет	6	1
485	же не	2	1
486	различие между	1	1
487	же касается	5	1
488	том случае	3	1
489	об этом	6	1
490	и с	9	1
491	лишь в	1	1
492	на каком	1	1
493	образом если	1	1
494	отчет в	2	1
495	искусство не	1	1
496	но их	1	1
497	и истина	1	1
498	поэтому можно	1	1
499	ни в	10	1
500	никакого намека	1	1
501	не прямо	3	1
502	не всегда	1	1
503	во внимание	1	1
504	зависит не	1	1
505	мы видели	3	1
506	жизни но	1	1
507	оно имеет	1	1
508	чем в	4	1
509	нашего внутреннего	1	1
510	можно считать	5	1
511	и прямо	1	1
512	так ясно	1	1
513	можно сказать	1	1
514	можно найти	2	1
515	в такой	1	1
516	и без	1	1
517	же это	2	1
518	с точки	6	1
519	ли можно	2	1
520	в их	2	1
521	прийти к	1	1
522	все и	2	1
523	в которых	1	1
524	знаем что	2	1
525	не исчерпывается	1	1
526	оно стало	1	1
527	признаков но	2	1
528	природы но	1	1
529	мир и	1	1
530	выше мы	2	1
531	не будем	1	1
532	не понимает	2	1
533	которые в	1	1
534	самое время	1	1
535	друг другу	1	1
536	своих признаков	1	1
537	и более	2	1
538	только те	1	1
539	возможно только	1	1
540	случае мы	1	1
541	сам он	1	1
542	нетрудно заметить	1	1
543	и вся	2	1
544	раз и	8	1
545	находит что	1	1
546	с которой	1	1
547	другой не	1	1
548	виду что	1	1
549	на источник	1	1
550	дело в	5	1
551	на себе	1	1
552	к этим	1	1
553	и имеет	1	1
554	какой бы	1	1
555	полнота и	1	1
556	он мог	3	1
557	только не	1	1
558	до своего	1	1
559	ему делать	1	1
560	найти в	2	1
561	и всегда	2	1
562	а еще	1	1
563	не имели	1	1
564	ничего не	5	1
565	известно из	1	1
566	или как	4	1
567	ровно ничего	2	1
568	по своей	2	1
569	это слово	1	1
570	течение самого	1	1
571	всякий кто	1	1
572	до того	1	1
573	доказать что	1	1
574	раз как	1	1
575	быть много	1	1
576	которая по	1	1
577	к отдельным	1	1
578	начиная с	1	1
579	конец его	1	1
580	и здоровое	1	1
581	и такие	1	1
582	и сам	1	1
583	словесном выражении	1	1
584	его за	1	1
585	указать на	4	1
586	отличается от	3	1
587	к тому	7	1
588	скорее в	1	1
589	бы он	1	1
590	три основные	1	1
591	делает невозможным	1	1
592	он никогда	2	1
593	что при	1	1
594	него как	3	1
595	ничего общего	5	1
596	от той	1	1
597	под формою	1	1
598	мыслимо только	1	1
599	как мы	8	1
600	не делает	1	1
601	есть чувство	1	1
602	здесь не	3	1
603	без всякого	1	1
604	только при	4	1
605	не могло	1	1
606	могут и	1	1
607	третье а	1	1
608	нет никакой	1	1
609	не говорит	5	1
610	второго лица	1	1
611	только то	2	1
612	такой взгляд	1	1
613	вопрос что	1	1
614	как с	2	1
615	если они	2	1
616	только три	1	1
617	наконец то	1	1
618	и которые	1	1
619	что первобытный	1	1
620	так называемую	1	1
621	во многом	2	1
622	к тем	2	1
623	наше внимание	1	1
624	есть непосредственное	1	1
625	не за	1	1
626	и всякого	2	1
627	разумеется что	1	1
628	другого и	1	1
629	на самые	1	1
630	хотя это	1	1
631	на ряд	1	1
632	образ или	1	1
633	каждый раз	1	1
634	человек есть	2	1
635	то они	1	1
636	это вполне	2	1
637	язык и	1	1
638	никак не	4	1
639	что каждый	2	1
640	самого незначительного	1	1
641	одного из	1	1
642	от своего	1	1
643	утверждает что	4	1
644	на что	1	1
645	и просто	1	1
646	самому себе	1	1
647	развития не	1	1
648	заключается в	1	1
649	и были	1	1
650	эта сила	2	1
651	если считать	1	1
652	мы ни	1	1
653	в глазах	1	1
654	я вижу	2	1
655	к истине	1	1
656	все в	1	1
657	даже для	1	1
658	может иметь	1	1
659	же можно	1	1
660	тех пор	1	1
661	к нему	3	1
662	что здесь	3	1
663	плане но	3	1
664	но так	1	1
665	но с	2	1
666	всякого рода	3	1
667	для себя	5	1
668	как нечто	3	1
669	недостаточно одного	1	1
670	бы его	1	1
671	это стремление	1	1
672	по мнению	4	1
673	их не	1	1
674	который в	2	1
675	ясности в	1	1
676	менее и	1	1
677	же и	2	1
678	сам собою	2	1
679	конечно не	1	1
680	этом что	1	1
681	нас истины	1	1
682	времени когда	1	1
683	при помощи	4	1
684	но которое	1	1
685	человека на	1	1
686	только их	1	1
687	один ряд	1	1
688	представить себе	1	1
689	не находит	1	1
690	могло бы	2	1
691	существование в	1	1
692	не для	1	1
693	нашем сознании	1	1
694	к человеку	1	1
695	не о	2	1
696	только с	2	1
697	то а	1	1
698	себе отчет	3	1
699	бы это	2	1
700	к самому	1	1
701	таком виде	1	1
702	говорим о	1	1
703	случае если	2	1
704	и начинается	1	1
705	однако что	1	1
706	что человек	1	1
707	нельзя сказать	3	1
708	именно в	3	1
709	по своим	1	1
710	а именно	12	1
711	и прежде	1	1
712	во второй	1	1
713	всякого человека	1	1
714	и др	1	1
715	имеет ничего	2	1
716	притом не	1	1
717	в рассуждениях	1	1
718	и непосредственно	1	1
719	если этот	1	1
720	и психологии	2	1
721	нашего сознания	1	1
722	есть отношение	1	1
723	без которых	1	1
724	понятие о	2	1
725	для человека	1	1
726	что из	1	1
727	именно так	1	1
728	очень часто	1	1
729	уже давно	1	1
730	все то	3	1
731	не тождественно	1	1
732	с какою	1	1
733	можно будет	1	1
734	которое в	3	1
735	человека к	1	1
736	же с	7	1
737	п а	1	1
738	легко заметить	1	1
739	к своему	2	1
740	не знал	1	1
741	как предмет	1	1
742	если оно	4	1
743	а если	2	1
744	мы считаем	1	1
745	в течение	4	1
746	взятое в	1	1
747	это есть	10	1
748	что же	9	1
749	и вполне	2	1
750	в первой	1	1
751	ли эта	1	1
752	кто такой	1	1
753	значит что	6	1
754	распадается на	1	1
755	к чему	1	1
756	нам еще	1	1
757	с этой	2	1
758	этом случае	1	1
759	и о	4	1
760	заставляет нас	1	1
761	ничего кроме	1	1
762	от нас	1	1
763	но для	3	1
764	которые были	2	1
765	вне его	1	1
766	в более	1	1
767	в с	2	1
768	необходимость его	1	1
769	мы только	1	1
770	чтобы понять	1	1
771	тот кто	1	1
772	но когда	2	1
773	собственно говоря	3	1
774	основанное на	1	1
775	что касается	2	1
776	бы если	2	1
777	что а	2	1
778	на одно	1	1
779	все они	2	1
780	мы мыслим	2	1
781	и предметом	1	1
782	тех и	1	1
783	есть уже	1	1
784	бы на	2	1
785	того времени	1	1
786	и сила	1	1
787	может и	1	1
788	но эта	1	1
789	есть представление	1	1
790	говорит нам	1	1
791	состоит из	1	1
792	природе то	1	1
793	него то	1	1
794	многие и	1	1
795	сказали бы	1	1
796	для нашего	1	1
797	в последнем	1	1
798	и еще	2	1
799	есть и	4	1
800	только о	3	1
801	который не	1	1
802	и представления	1	1
803	в трех	1	1
804	сила и	1	1
805	в заключение	1	1
806	бы сам	1	1
807	человек еще	1	1
808	об этих	2	1
809	жизни и	1	1
810	но еще	2	1
811	ни на	2	1
812	ее в	3	1
813	в своих	7	1
814	то оно	1	1
815	в процессе	1	1
816	и ни	2	1
817	этой точки	1	1
